Yıl,İl Kodu,İl Adı,Genel toplam,Genel toplam,Genel toplam,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlkokul,İlkokul,İlköğretim,İlköğretim,İlköğretim,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksek lisans,Yüksek lisans,Yüksek lisans,Doktora,Doktora,Doktora,Bilinmeyen,Bilinmeyen,Bilinmeyen
,,,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın
2008,1,  Adana,1811205,898624,912581,153345,31024,122321,399323,198426,200897,469036,230288,238748,191137,99449,91688,84299,51502,32797,300221,163672,136549,93801,55790,38011,4705,2676,2029,1505,974,531,113833,64823,49010
2008,2,  Adıyaman,511721,253940,257781,70930,15274,55656,140760,68622,72138,107482,55086,52396,67115,35021,32094,16956,12428,4528,62867,39780,23087,13952,9904,4048,506,377,129,103,80,23,31050,17368,13682
2008,3,  Afyonkarahisar,630437,311624,318813,48679,7833,40846,128258,60949,67309,228018,108773,119245,69829,35257,34572,26293,19036,7257,82334,50919,31415,23466,15655,7811,1408,878,530,412,315,97,21740,12009,9731
2008,4,  Ağrı,450048,234149,215899,69662,16819,52843,176398,89959,86439,57624,36339,21285,33812,22451,11361,5175,3956,1219,27576,21154,6422,5404,3745,1659,416,313,103,111,69,42,73870,39344,34526
2008,5,  Amasya,298120,148166,149954,21656,4770,16886,59860,27595,32265,95430,44449,50981,32176,16299,15877,12249,8489,3760,42760,25982,16778,14956,10129,4827,494,341,153,103,64,39,18436,10048,8388
2008,6,  Ankara,4146674,2061157,2085517,154348,24052,130296,687275,331107,356168,977183,423991,553192,387537,203353,184184,245614,148782,96832,930776,503239,427537,442315,249167,193148,44598,26367,18231,16239,9843,6396,260789,141256,119533
2008,7,  Antalya,1677830,850294,827536,83612,15315,68297,305486,150625,154861,539306,264171,275135,168374,86771,81603,75481,47747,27734,273733,150182,123551,113052,66714,46338,4817,2886,1931,1188,758,430,112781,65125,47656
2008,8,  Artvin,154311,77231,77080,11301,1951,9350,27904,12930,14974,47708,21743,25965,14589,7578,7011,7950,5597,2353,27549,17408,10141,7024,4740,2284,269,180,89,48,34,14,9969,5070,4899
2008,9,  Aydın,888012,442739,445273,68265,13395,54870,161693,78469,83224,319426,162253,157173,87643,45290,42353,32508,20551,11957,119872,64658,55214,49074,29339,19735,1697,1022,675,552,361,191,47282,27401,19881
